,songs_names,songs_ids,artists_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7903,Good Riddance (Time of Your Life),6ORqU0bHbVCRjXm9AjyHyZ,Green Day,0.475,0.432,7,-7.844,1,0.0302,0.183,0,0.161,0.648,94.605
7904,Hallelujah,3pRaLNL3b8x5uBOcsgvdqM,Jeff Buckley,0.324,0.136,0,-10.33,1,0.0318,0.931,0.00117,0.176,0.0831,97.256
7905,Sweet Child O' Mine,0273i5ysrlovK8rr0KJfQn,Sheryl Crow,0.592,0.865,7,-3.183,1,0.0282,0.0867,3.53E-06,0.103,0.659,124.278
7906,Crash into Me,1HL3yEnYq8LEyFQ3QegA5V,Dave Matthews Band,0.541,0.677,4,-10.764,1,0.0373,0.122,0.0191,0.0938,0.555,101.1
7907,High And Dry,5jafMI8FLibnjkYTZ33m0c,Radiohead,0.418,0.383,4,-11.782,1,0.0257,0.0718,0.0177,0.0896,0.352,87.773
7908,Head over Feet - Live / Unplugged,0HxDXAUayBZXU8ZaWdBKyc,Alanis Morissette,0.421,0.734,0,-8.692,1,0.0511,0.0688,0,0.974,0.34,168.772
7909,Torn - Acoustic MTV Unplugged,1iPvdHIQQSNJ4iRm92Bcbx,Natalie Imbruglia,0.53,0.472,5,-8.404,1,0.0453,0.717,0,0.109,0.496,93.739
7910,Zombie - Acoustic Version,1qylvO4iCIZZcqc4TqSjTZ,The Cranberries,0.469,0.427,4,-7.954,0,0.0241,0.00414,3.77E-05,0.128,0.0821,84.053
7911,Name,1G8jae4jD8mwkXdodqHsBM,The Goo Goo Dolls,0.464,0.701,9,-5.943,1,0.0341,0.0691,0.00182,0.0766,0.407,73.97
7912,Kiss from a Rose - Acoustic,3YfiGjwBzBsDrYPqAJsD4z,Seal,0.66,0.407,4,-9.72,0,0.0355,0.743,0,0.0784,0.268,119.354
7913,Ironic,4oGTdOClZUxcM2H3UmXlwL,Alanis Morissette,0.495,0.595,11,-7.57,1,0.0443,0.246,0,0.236,0.392,85.341
7914,Fake Plastic Trees,045sp2JToyTaaKyXkGejPy,Radiohead,0.454,0.229,2,-12.592,1,0.0297,0.167,0.102,0.202,0.134,73.552
7915,Three Marlenas,6iPZEvHsTanHMOtjyJWMEm,The Wallflowers,0.614,0.576,8,-10.826,1,0.0262,0.01,2.55E-05,0.103,0.522,107.27
7916,Change,44RW9FEY76mLQCRQUjT0Zt,Blind Melon,0.433,0.46,2,-10.441,1,0.0343,0.606,4.36E-05,0.175,0.536,77.525
7917,Slide,0nnwn7LWHCAu09jfuH1xTA,The Goo Goo Dolls,0.395,0.843,8,-4.476,1,0.0374,0.00483,0,0.0404,0.481,112.423
7918,The World I Know,794pcMq18sBEsmwjRq0aOI,Collective Soul,0.514,0.704,2,-4.724,1,0.0261,0.0515,0.00219,0.228,0.386,76.975
7919,Kind & Generous,6VrjF67WFChXh8uYYBfeRr,Natalie Merchant,0.593,0.611,3,-6.773,1,0.0504,0.35,0.533,0.605,0.473,93.171
7920,You Learn - Live / Unplugged,2yx1kAK1Fe2zTOsaDKSNBk,Alanis Morissette,0.308,0.781,0,-7.052,1,0.0746,0.0639,1.16E-05,0.978,0.283,166.931
7921,Bitter Sweet Symphony,5yEPxDjbbzUzyauGtnmVEC,The Verve,0.389,0.889,9,-6.546,1,0.0442,0.0415,0,0.463,0.524,171.121
7922,Push,2KVwlelhxKUy8LVV6JypH3,Matchbox Twenty,0.42,0.672,6,-7.902,1,0.027,0.0067,0,0.108,0.476,168.019
7923,Nothing Compares 2 U,3nvuPQTw2zuFAVuLsC9IYQ,Sinéad O'Connor,0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33E-05,0.105,0.161,119.917
7924,Glycerine - Acoustic,3ZO5c7oJ7jw8GhREpDAsoR,Bush,0.648,0.278,11,-9.25,0,0.037,0.56,0.00728,0.122,0.303,118.827
7925,1979,5KRRcT67VNIZUygEbMoIC1,The Smashing Pumpkins,0.768,0.744,8,-11.267,1,0.0338,0.0218,0.712,0.063,0.963,127.036
7926,Wonderwall,7JrUo70YjhU4S7flcJtK0k,Oasis,0.412,0.849,2,-5.625,1,0.0361,0.00212,0,0.13,0.486,174.428
7927,Under the Bridge,23NPGXlSaIqWzvxIRhM2oG,Red Hot Chili Peppers,0.554,0.49,4,-8.046,1,0.0457,0.0168,0.000534,0.136,0.513,84.275
7928,Losing My Religion,74EV0g12ihUoOUXMprFpZB,R.E.M.,0.672,0.841,9,-5.992,0,0.0285,0.0767,0,0.135,0.82,125.437
7929,Fade Into You,1LzNfuep1bnAUR9skqdHCK,Mazzy Star,0.42,0.33,9,-13.925,1,0.0275,0.245,0.000679,0.0677,0.175,157.143
7930,Stay,7Lwo27zrXusqUlAaTgnytp,Lisa Loeb & Nine Stories,0.676,0.592,1,-6.887,1,0.0452,0.454,0,0.107,0.337,80.316
7931,Angel,3xZMPZQYETEn4hjor3TR1A,Sarah McLachlan,0.532,0.0744,1,-16.092,1,0.0355,0.949,1.22E-05,0.106,0.125,117.131
7932,Give Me One Reason,4vDBJeeQCbhP9FaPPMsYkY,Tracy Chapman,0.608,0.419,11,-10.016,1,0.0331,0.602,7.58E-06,0.108,0.602,100.22
7933,"The Times They Are A-Changin' - Live at Sony Music Studios, New York, NY - November 1994",32gGuJXlLJbKCk3MDfW53y,Bob Dylan,0.393,0.416,9,-13.243,1,0.0401,0.63,0.00791,0.986,0.512,163.604
7934,All For You,2skmOCFU64Bg7Ytkgwliwe,Sister Hazel,0.633,0.754,8,-6.495,1,0.0382,0.0316,2.27E-05,0.091,0.641,137.047
7935,I'm On Fire - Live,6DTzKm0E0T7U8o4MntTpg8,Heather Nova,0.269,0.572,9,-12.887,1,0.0587,0.864,0.00149,0.957,0.271,139.477
7936,Motorcycle Drive By,47wtXjG0Sk6DI6cjkRBcEg,Third Eye Blind,0.424,0.577,0,-9.292,1,0.0263,0.0127,0.000859,0.0848,0.615,122.473
7937,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",225xvV8r1yKMHErSWivnow,Aerosmith,0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154
7938,All Apologies,1zX0Pv0l7GQUFlf0lNADqy,Sinéad O'Connor,0.743,0.0262,4,-27.691,1,0.0363,0.91,0.0241,0.0878,0.333,100.053
7939,California Stars,38paDDziQ57k1f4VfKTeGk,"Billy Bragg,Wilco",0.622,0.736,9,-9.229,1,0.0292,0.422,1.18E-05,0.0829,0.723,110.24
7940,Drive,7nnWIPM5hwE3DaUBkvOIpy,Incubus,0.645,0.792,4,-7.34,0,0.036,0.0562,0.0121,0.119,0.666,90.565
7941,Save Tonight,0smyCrJiibi2uwCiq5R1vj,Eagle-Eye Cherry,0.547,0.707,0,-8.74,1,0.0338,8.14E-05,0.000149,0.285,0.654,119.576
7942,Winter - 2015 Remaster,11dfOCV0oBxzZ9fi2PZhvS,Tori Amos,0.395,0.277,6,-10.472,1,0.0298,0.901,2.66E-06,0.105,0.226,79.32
7943,I Don't Want to Wait,7zu3Xuz7D8OTilEr2oHKdL,Paula Cole,0.391,0.514,11,-6.398,1,0.0447,0.315,5.87E-06,0.0567,0.437,177.872
7944,Sunny Came Home,4mOxpj82q6n3EO7HBZCelX,Shawn Colvin,0.554,0.58,11,-8.05,0,0.0322,0.344,0.00842,0.0989,0.402,167.83
7945,The Freshmen,21jEuMn2lf37715rwjow2M,The Verve Pipe,0.571,0.505,1,-9.312,0,0.0238,0.0757,1.04E-05,0.109,0.276,99.562
7946,How's It Going to Be,3Uvx1TO0Kg5HgGPk58lHXv,Third Eye Blind,0.561,0.593,5,-9.362,1,0.0264,0.00327,0.00144,0.0967,0.574,80.282
7947,"Satisfied Mind - Live at WFMU, East Orange, NJ - Oct 1992",59J9tAbY39foKp478aUsWX,Jeff Buckley,0.403,0.0275,9,-17.715,1,0.0324,0.932,3.86E-05,0.111,0.136,92.38
7948,Foolish Games,6Ee5Y6kCdlZfoFhyR8xPVt,Jewel,0.298,0.0735,5,-16.472,1,0.0378,0.944,0.000401,0.0976,0.174,131.045
7949,Karma Police,4toSP60xmDNCFuXly8ywNZ,Radiohead,0.36,0.505,7,-9.129,1,0.026,0.0626,9.22E-05,0.172,0.317,74.807
7950,Adia,0rl84FuazRHYmK72krdmA1,Sarah McLachlan,0.526,0.37,3,-10.535,1,0.025,0.722,0,0.157,0.251,76.002
7951,Last Day of Our Acquaintance,1SQJoU0N3uVIcoJy9PjJFB,Sinéad O'Connor,0.337,0.169,3,-12.592,1,0.035,0.252,4.19E-06,0.132,0.299,82.438
7952,When You Say Nothing At All,46LI9mnlQ8fJHH47ioBubg,Alison Krauss & Union Station,0.509,0.242,3,-13.353,1,0.0291,0.714,0.000365,0.127,0.448,169.642
7953,Don't Speak,7H8zey5My6uNdD2TxeCb9F,No Doubt,0.522,0.707,5,-7.113,0,0.0354,0.24,2.04E-05,0.156,0.572,76.05
7954,Stolen Car,7fj8gxs9E3xuTYJQd5pTjG,Beth Orton,0.561,0.715,9,-8.291,1,0.0356,0.181,0,0.624,0.445,106.849
7955,Cornflake Girl,1300POeOaj8qho30FRHjgf,Tori Amos,0.631,0.638,7,-8.958,1,0.0274,0.4,0.000516,0.216,0.812,133.739
7956,Nutshell,2JuasWPUodaUxf5nwNpciQ,Alice In Chains,0.384,0.561,3,-10.059,0,0.0296,0.373,0.253,0.0775,0.159,136.136
7957,Cowboy Take Me Away,3rXCZRMiMZp0feGcYXpwYX,The Chicks,0.467,0.622,6,-7.255,1,0.031,0.365,0.00527,0.0982,0.455,164.418
7958,Save Me,0EqtsCvcDjEz6svFsaV5HN,Aimee Mann,0.616,0.346,10,-10.438,1,0.0304,0.604,0.00232,0.0914,0.344,143.351
7959,Where Have All the Cowboys Gone ? - Remastered Version,4EiZBnBOWr1RVsDew9zYOX,Paula Cole,0.68,0.723,6,-5.598,0,0.0439,0.119,7.69E-06,0.359,0.676,129.012
7960,Smells Like Teen Spirit - 2015 Remaster,1kWqRB6PHLM9QTfaXuHpIV,Tori Amos,0.251,0.263,8,-12.538,1,0.0327,0.93,0.00172,0.0954,0.199,177.21
7961,Stellar - Acoustic,65QweyWLYg5kapDDE8teNn,Incubus,0.403,0.498,9,-6.888,1,0.0332,0.519,0,0.267,0.351,128.192
7962,"If You Knew - Live at Sin-é, New York, NY - July/August 1993",1nd2JEHXbUuQFDiQzCBpsv,Jeff Buckley,0.274,0.0637,8,-23.926,1,0.0446,0.896,0.00105,0.818,0.124,173.515
7963,Every Morning,2ouURa1AIXp3AvkS52Jry5,Sugar Ray,0.833,0.679,8,-4.496,1,0.0365,0.0834,0.00258,0.0769,0.975,109.916
7964,Ophelia,54JfZxCEjNCwqicxTYsps1,Natalie Merchant,0.479,0.0694,1,-18.899,0,0.0363,0.498,0.0806,0.136,0.0329,113.606
7965,Building a Mystery,3ozomn4PrGEKEuusxX2HpC,Sarah McLachlan,0.505,0.518,2,-8.601,1,0.023,0.403,0,0.129,0.472,81.019
7966,Little Darlin',7ycFNferNuk6wAjBa0vWvl,The Diamonds,0.631,0.587,6,-11.402,1,0.042,0.536,0.29,0.333,0.664,152.851
7967,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),2HyPrPSANTIPkR6CfiytwY,"Doris Day,Paul Weston And His Orchestra",0.386,0.125,0,-17.695,1,0.0394,0.921,6.42E-06,0.0919,0.254,147.721
7968,"See You Later, Alligator",1s4hyUFWmLWiAamsclb4xA,Bill Haley & His Comets,0.664,0.702,10,-11.841,0,0.0671,0.313,2.06E-06,0.369,0.737,156.987
7969,All I Have to Do Is Dream,72nqbbrKjhXmDdRXQGq115,The Everly Brothers,0.542,0.347,4,-14.011,1,0.0268,0.783,0,0.144,0.596,103.709
7970,Heartbreak Hotel,6xNwKNYZcvgV3XTIwsgNio,Elvis Presley,0.696,0.21,4,-11.922,1,0.067,0.84,1.62E-06,0.107,0.717,93.543
7971,Everyday,39lnzOIUCSNaQmgBHoz7rt,Buddy Holly,0.747,0.219,3,-12.562,1,0.0371,0.584,2.57E-05,0.107,0.498,135.562
7972,You Send Me,7fPOOCejoBt3dIm6UcEdm8,Sam Cooke,0.538,0.226,4,-13.817,0,0.0288,0.945,0,0.125,0.553,96.951
7973,"Goodnite, It's Time to Go (Goodnight Sweetheart, Goodnight)",50meIWPMuhYgQSXfSsUvtI,The Spaniels,0.375,0.318,9,-9.923,0,0.0423,0.655,0.000198,0.422,0.358,76.638
7974,The Great Pretender,2FkCjtQ1lYsf71s2FAS8hE,The Platters,0.425,0.401,7,-9.427,1,0.0315,0.943,3.44E-06,0.072,0.531,115.71
7975,Smile,1oDCK7PW72XEZ1pE5rh87A,Nat King Cole,0.226,0.136,5,-19.203,0,0.0327,0.862,8.07E-06,0.302,0.263,79.37
7976,Love & Marriage,1jdE62HRy0U5vJaOZ0LUUb,Frank Sinatra,0.69,0.244,10,-10.011,1,0.0364,0.919,0,0.218,0.598,110.977
7977,Cheek To Cheek,6pPr1KLZit9FgFNhp7xE5m,"Ella Fitzgerald,Louis Armstrong",0.648,0.306,0,-13.395,1,0.0883,0.588,0,0.252,0.661,122.027
7978,Black Coffee,56IQUfsUskt9VHe6YM6kue,Sarah Vaughan,0.38,0.155,1,-11.977,1,0.0311,0.973,1.70E-05,0.0977,0.127,94.23
7979,Just In Time - Remastered/1998,1UzlJGnPQLCIDAHuKSjQQT,Dean Martin,0.509,0.265,7,-11.918,0,0.0438,0.652,0,0.125,0.587,126.88
7980,To The Aisle,5VyJGb6l6rY8bBZH2RC6XD,The Five Satins,0.323,0.273,5,-10.152,1,0.0355,0.91,0,0.1,0.547,194.882
7981,Oh! Carol,1VI29k31nGdasgJ8BBpPu8,Neil Sedaka,0.584,0.743,8,-7.039,0,0.0463,0.766,0,0.319,0.815,132.747
7982,I'm Gonna Get Married,1jKcwPfDloLOMxC1wMV0ux,Lloyd Price,0.569,0.514,7,-9.369,1,0.0334,0.765,0,0.131,0.63,119.518
7983,Who's Sorry Now,4bzvhZFlV9UqQ3EmV2i8s4,Connie Francis,0.522,0.326,3,-6.448,1,0.0273,0.755,2.26E-05,0.36,0.443,87.535
7984,Sea Of Love,14T8UhqU8EaJpp3tRxqJbr,Phil Phillips,0.289,0.353,7,-12.302,1,0.0292,0.862,1.35E-06,0.172,0.312,85.436
7985,Long Tall Sally (The Thing),507IFqPuG8mBQoKebfGG9t,Little Richard,0.474,0.608,5,-5.139,1,0.0825,0.755,0,0.0928,0.888,184.694
7986,A Teenager In Love,0QGwOFQChzflLAmPq5NwKo,Dion & The Belmonts,0.555,0.377,1,-9.123,1,0.0295,0.671,0,0.128,0.619,78.986
7987,Reet Petite,3h4udS0WeWbsur3yfjvnm4,Jackie Wilson,0.664,0.66,5,-6.526,1,0.13,0.447,0,0.298,0.873,84.345
7988,"Hallelujah, I Love Her So",5P11rW6aJErF37MTfRZS31,Ray Charles,0.696,0.547,5,-5.954,0,0.169,0.792,0,0.155,0.623,73.203
7989,Personality,5vjigjfoXuJEttqLB3HTAg,Lloyd Price,0.591,0.454,5,-8.936,1,0.0322,0.744,0,0.0989,0.865,128.909
7990,Down in Mexico,4OnqJ1ml4Jgr5AAKNrrYCD,The Coasters,0.614,0.589,1,-8.667,1,0.0573,0.7,0,0.069,0.894,111.879
7991,Sweet Little Sixteen,1gU6T4sESXRt6RC2ufSqDf,Chuck Berry,0.549,0.521,0,-10.294,1,0.0438,0.57,0,0.0996,0.939,166.072
7992,Since I Don't Have You,5zgzOyEZPoeQwmXFzW0bPn,The Skyliners,0.212,0.334,6,-12.196,1,0.0308,0.717,0.0056,0.0936,0.638,141.071
7993,Summertime Blues,1ZWIQXfAquWtLDK5aOUczS,Eddie Cochran,0.717,0.883,9,-8.686,0,0.0608,0.125,0.167,0.176,0.942,156.299
7994,Lonely Teardrops,6TYR3IVgIwDK6ydc2EPEQq,Jackie Wilson,0.524,0.478,7,-8.894,1,0.118,0.406,0,0.74,0.843,137.133
7995,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,4gFlHAye7To29Fs4UszQUH,Chet Baker,0.442,0.033,10,-23.063,1,0.041,0.922,0.000171,0.151,0.21,103.34
7996,Lucille,49E8SDVZ7BUyNAZZYfZdRx,Little Richard,0.682,0.839,6,-9.186,1,0.0466,0.336,0.000571,0.17,0.953,145.051
7997,They Can't Take That Away From Me,1V4NaFlrUCK49MXcdOcVeS,"Ella Fitzgerald,Louis Armstrong",0.563,0.136,3,-17.402,1,0.0683,0.87,0,0.106,0.368,104.928
7998,Pennies From Heaven,4tmy6FB76bR5eLmx0zO1mn,"Louis Prima,Sam Butera & The Witnesses",0.515,0.408,8,-11.96,1,0.194,0.452,0,0.0682,0.915,185.767
7999,Stagger Lee,7qoaMWT3eRCKG1RN6dVuOY,Lloyd Price,0.439,0.638,3,-6.859,1,0.0307,0.707,0,0.175,0.781,69.57
8000,The Book of Love,1N131UBLlYAUJNVpHOfEc1,The Monotones,0.428,0.594,10,-12.716,1,0.379,0.734,0,0.567,0.556,198.67
8001,Only You (And You Alone),66D7zHfeW0frszhjR9ewZ1,The Platters,0.411,0.28,3,-11.961,1,0.0285,0.956,0,0.12,0.309,80.337
8002,Jambalaya (On The Bayou),1slMt4LizkO9dVcMZItJ1O,Fats Domino,0.605,0.845,6,-8.672,0,0.0596,0.819,0.000267,0.253,0.965,75.322
8003,Maybe Baby,0SfreyN9i8MPgrtYS5PCjg,The Crickets,0.602,0.597,9,-7.73,1,0.0303,0.714,0,0.0863,0.866,137.001
8004,Poor Little Fool - Remastered,5ayybTSXNwcarDtxQKqvWX,Ricky Nelson,0.474,0.338,0,-11.528,1,0.0299,0.648,0,0.13,0.81,154.596
8005,Put Your Head on My Shoulder,7eqNATKM78MkWP6aHGXHEV,Paul Anka,0.549,0.433,7,-8.526,1,0.0327,0.906,0.0108,0.0774,0.486,116.068
8006,Stupid Cupid,4EaVZab0VnTWwWnO3HuEAp,Connie Francis,0.609,0.749,3,-6.147,1,0.0363,0.831,1.45E-06,0.039,0.967,135.702
8007,Not Fade Away,6sBPjgvLZzHHrpxbBDjmdE,Buddy Holly & The Crickets,0.799,0.475,9,-13.142,1,0.0413,0.835,0,0.275,0.92,95.966
8008,Somethin' Else,3Ib94mN8YF3cXZo5x1FpQL,Eddie Cochran,0.625,0.791,2,-10.428,1,0.0711,0.198,0.000144,0.0645,0.967,157.413
8009,Blueberry Hill,06PdA0DLgF4BfAeUNZAbFG,Fats Domino,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341
8010,Oh Boy! - Overdubbed Version,7s7Zu78CztOUFUyQ4BijBQ,Buddy Holly,0.543,0.619,9,-7.518,1,0.0377,0.777,0,0.109,0.846,96.842
8011,Come Fly With Me - Remastered,4hHbeIIKO5Y5uLyIEbY9Gn,Frank Sinatra,0.574,0.338,6,-11.376,1,0.042,0.845,0,0.165,0.493,67.008
8012,Mister Sandman,00e59ZgjHI2GwsiY3oXayw,The Chordettes,0.615,0.407,9,-8.982,1,0.0461,0.824,0,0.119,0.55,108.56
8013,Rip It Up,5tHFPtV7dT01fxDe2AhKjD,Little Richard,0.895,0.636,5,-6.043,1,0.06,0.672,3.31E-06,0.0207,0.967,95.922
8014,Broken Hearted Melody,40KCF1U2DNceYsugxZQruU,Sarah Vaughan,0.448,0.5,7,-11.304,1,0.0356,0.744,0,0.191,0.768,132.443
8015,Johnny B. Goode,3BUQFs6aFWh7EFNmI8bfL7,Chuck Berry,0.516,0.798,10,-9.049,1,0.083,0.738,0.000128,0.305,0.969,168.195
8016,Sixteen Tons,3P6OwCX7Ofiaaqtvujb6i5,Tennessee Ernie Ford,0.693,0.324,11,-15.085,1,0.205,0.796,0,0.246,0.382,144.14
8017,Just A Gigolo - Remastered,6lYeYgSkWh6TZDQy6YZuvG,Louis Prima,0.525,0.403,8,-11.987,1,0.0945,0.597,0,0.0565,0.718,125.187
8018,In The Still of the Night,0GVvRmCoiLkhxJvlZy9bLk,The Five Satins,0.43,0.33,6,-10.621,1,0.0353,0.876,0,0.105,0.316,108.824
8019,Blue Suede Shoes,47gmoUrZV3w20JAnQOZMcO,Elvis Presley,0.557,0.66,2,-7.706,1,0.056,0.654,1.66E-06,0.138,0.962,95.252
8020,It's Only Make Believe - Single Version,6Em0JcoORXzv0BGfxAacpv,Conway Twitty,0.542,0.531,11,-6.698,1,0.0384,0.887,0.0011,0.127,0.344,126.018
8021,Mack the Knife,3E5ndyOfO6vFDEIE42HA8o,Bobby Darin,0.549,0.529,3,-12.291,0,0.108,0.76,0,0.206,0.464,82.755
8022,Ain't That A Shame,4ZfQwNx3FlCN07cnUvekh3,Fats Domino,0.486,0.501,4,-8.57,1,0.0326,0.767,7.60E-05,0.0679,0.942,122.894
8023,Fever,2CeqxyOZEyiL6pTDYZ9gPH,Peggy Lee,0.742,0.0899,9,-19.187,0,0.158,0.0906,0,0.113,0.351,137.473
8024,We Belong Together,7caj6X6NMX3tlhWnu1du6V,Ritchie Valens,0.684,0.247,5,-13.71,1,0.0281,0.872,0.000166,0.113,0.768,106.522
8025,I Can't Stop Loving You,79nJj5dMyTsUzKvN5jUXsJ,Ray Charles,0.31,0.279,5,-13.552,1,0.0308,0.815,0,0.318,0.377,79.397
8026,Buona Sera - Remastered,0DXm5n7SBxCED9ssTvrx2J,Louis Prima,0.547,0.3,3,-13.973,1,0.107,0.777,0,0.0653,0.811,97.793
8027,Jambalaya (On The Bayou),2KJOfVTxWkbtRMGByeEQ7V,Hank Williams,0.526,0.291,7,-10.694,1,0.0346,0.706,0,0.0651,0.886,164.02
8028,Charlie Brown,6Q0aBakbTsjQO6iGdxmXlx,The Coasters,0.646,0.628,3,-8.794,1,0.243,0.404,5.03E-06,0.00967,0.881,125.705
8029,Rebel Rouser,4nAJtcmiyoL0ARY5WZY9IN,Duane Eddy,0.388,0.434,7,-11.997,1,0.0354,0.789,0.954,0.728,0.873,206.313
8030,He'll Have to Go,7DH5dXVuQaqcKf9oTy9oUN,Jim Reeves,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181
8031,Beyond the Sea,3KzgdYUlqV6TOG7JCmx2Wg,Bobby Darin,0.521,0.516,2,-7.456,0,0.0369,0.723,0,0.257,0.569,136.483
8032,Rockin' Robin,4FlYcJnfkeBpowEHJ72Bmt,Bobby Day,0.541,0.608,7,-13.083,1,0.106,0.298,0,0.234,0.938,171.992
8033,A Teenager's Romance,1Qn5jElT7XqjvVeJ8pYM2w,Ricky Nelson,0.51,0.484,10,-6.942,1,0.038,0.784,0,0.306,0.683,103.356
8034,La Bamba - Single Version,2aEeghgUcnu75tzcolFMfs,Ritchie Valens,0.516,0.809,0,-6.419,1,0.0545,0.787,0.000331,0.303,0.939,75.099
8035,Dream A Little Dream Of Me,3vFVS2WYHDG4KkWCNecvpn,"Ella Fitzgerald,Louis Armstrong",0.455,0.167,0,-13.613,1,0.0739,0.918,0,0.173,0.404,76.118
8036,I Only Have Eyes for You,3YdKJzcoMZMacISlpY4QoP,The Flamingos,0.552,0.313,5,-12.41,1,0.0296,0.916,0.0017,0.12,0.303,88.554
8037,Blue Suede Shoes,05r0esO8ozJjsN7DzsJoMy,Carl Perkins,0.633,0.568,9,-11.225,1,0.0323,0.352,6.03E-05,0.154,0.969,84.491
8038,Living Doll - 2003 Remaster,3koJ1vDWEITIrfMlNaHIu3,Cliff Richard & The Drifters,0.572,0.463,9,-7.782,1,0.0517,0.527,0,0.0958,0.764,62.658
8039,My Funny Valentine - Remastered,0x0ffSAP6PkdoDgHOfroof,Frank Sinatra,0.257,0.125,11,-14.267,0,0.0332,0.891,0,0.108,0.245,84.93
8040,Don't Be Cruel,01u6AEzGbGbQyYVdxajxqk,Elvis Presley,0.697,0.55,2,-11.496,1,0.18,0.856,3.44E-05,0.0907,0.844,84.802
8041,Splish Splash,40fD7ct05FvQHLdQTgJelG,Bobby Darin,0.645,0.943,0,-1.526,1,0.0393,0.385,0,0.37,0.965,147.768
8042,Lollipop,4A6Wc861ATCUC9tZe5S52X,The Chordettes,0.668,0.544,7,-6.885,0,0.136,0.492,0.00577,0.337,0.786,143.159
8043,Lonesome Town - 1990 Digital Remaster,56XoFI6v7kbGNdM8ALYWof,Ricky Nelson,0.508,0.0965,11,-18.283,1,0.031,0.856,0.012,0.102,0.296,77.907
8044,At The Hop,6wcKmXUzB6SExvGbleZkeI,Danny & The Juniors,0.405,0.864,8,-7.642,1,0.0486,0.662,2.12E-05,0.18,0.888,194.875
8045,Love Is Strange,3FL0L1AhHjFfhxQPGWjKkn,Mickey & Sylvia,0.629,0.692,0,-6.466,1,0.0295,0.658,0.000463,0.0543,0.842,121.808
8046,"What'd I Say, Pt. 1 & 2",5yQ9iMZXGcr5rlO4hoLsP4,Ray Charles,0.54,0.681,4,-5.44,1,0.0508,0.808,0,0.162,0.794,88.385
8047,Roll Over Beethoven,49vvBOlcnR3X4ArmnZMPL3,Chuck Berry,0.713,0.793,3,-10.138,1,0.21,0.81,0,0.198,0.804,92.713
8048,Baby (You've Got What It Takes),3iskX6pzPZOyUNoVCQ7oMz,"Dinah Washington,Brook Benton",0.69,0.508,8,-9.92,1,0.0469,0.851,0.000185,0.496,0.818,132.892
8049,I've Got You Under My Skin - Remastered 1998,3aEJMh1cXKEjgh52claxQp,Frank Sinatra,0.585,0.247,1,-12.612,1,0.04,0.452,8.85E-06,0.107,0.591,127.15
8050,Great Balls Of Fire,3YmELj8vHY6mKIzphgtQlM,Jerry Lee Lewis,0.468,0.527,7,-13.897,0,0.0683,0.554,0,0.061,0.855,159.501
8051,What'd I Say,21WrPeWVmWWBAx0dXYck9L,Ray Charles,0.506,0.618,4,-11.278,1,0.0708,0.657,2.31E-05,0.248,0.789,89.023
8052,Love Letters In The Sand - Single Version,1eqGYJJr2z2GXK1i0hD3BC,Pat Boone,0.571,0.196,3,-13.216,1,0.0278,0.811,0,0.142,0.555,88.728
8053,"Love Me Tender - From the 20th Century-Fox CinemaScope Production, ""Love Me Tender""",4GAhAw0RCzNVP976NRMOqO,Elvis Presley,0.396,0.0373,9,-18.642,1,0.0416,0.907,4.41E-05,0.111,0.302,103.051
8054,April In Paris,34zhjduFdQFhkRUJ230h9T,Billie Holiday,0.496,0.127,0,-14.211,1,0.0382,0.927,7.07E-05,0.132,0.211,74.746
8055,Peggy Sue,2OARIMw1hpehr86Iwmv04c,Buddy Holly,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373
8056,I Fall In Love Too Easily - Vocal Version,0F845nujLVqCb0XMZCh5Pc,Chet Baker,0.532,0.0657,0,-19.136,0,0.0406,0.94,0.00488,0.0946,0.292,128.607
8057,Donna - Single Version,0VE4ayVlGs5DBoqOdgJ0Zv,Ritchie Valens,0.472,0.225,5,-12.581,1,0.0263,0.864,0,0.111,0.29,100.299
8058,You Make Me Feel So Young - Remastered 1998,2WaYW84yWij5NSCpgSeU2R,Frank Sinatra,0.577,0.306,9,-11.559,1,0.0427,0.383,0,0.18,0.568,125.166
8059,You Mean Everything to Me,494NO14SgIot2L5fdCmGh4,Neil Sedaka,0.38,0.448,0,-7.815,0,0.0286,0.587,0,0.153,0.662,106.789
8060,Mannish Boy,58PSYdY0GFg0LFb2PxYk4T,Muddy Waters,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129
8061,Unforgettable,648TTtYB0bH0P8Hfy0FmkL,Nat King Cole,0.349,0.182,5,-13.507,1,0.031,0.92,0.0152,0.143,0.178,136.094
8062,C’Mon Everybody,7ItZM6DMZE2m1X7yIaRxjq,Eddie Cochran,0.627,0.7,3,-9.657,1,0.0522,0.121,0.0111,0.188,0.856,175.33
